Вакансия,Компания,Зарплата,Ссылка
Программист-стажер 1C,ALEXROVICH.RU,"от 45 000 ₽ за месяц, на руки",https://hh.ru/vacancy/112438579?query=%D0%BF%D1%80%D0%BE%D0%B3%D1%80%D0%B0%D0%BC%D0%BC%D0%B8%D1%81%D1%82&hhtmFrom=vacancy_search_list
Начинающий программист 1С,ООО ПТК Интерьер-Стиль,Зарплата не указана,https://hh.ru/vacancy/116711068?query=%D0%BF%D1%80%D0%BE%D0%B3%D1%80%D0%B0%D0%BC%D0%BC%D0%B8%D1%81%D1%82&hhtmFrom=vacancy_search_list
Junior Программист-тестировщик,ООО Передовые Мультимедийные Технологии,Зарплата не указана,https://hh.ru/vacancy/116176965?query=%D0%BF%D1%80%D0%BE%D0%B3%D1%80%D0%B0%D0%BC%D0%BC%D0%B8%D1%81%D1%82&hhtmFrom=vacancy_search_list
Программист C# / MSSQL,ООО ГрандТитул,"от 200 000 ₽ за месяц, на руки",https://hh.ru/vacancy/116574321?query=%D0%BF%D1%80%D0%BE%D0%B3%D1%80%D0%B0%D0%BC%D0%BC%D0%B8%D1%81%D1%82&hhtmFrom=vacancy_search_list
Программист микроконтроллеров на языке C,Wiren Board,"150 000 – 300 000 ₽ за месяц, на руки",https://hh.ru/vacancy/116145499?query=%D0%BF%D1%80%D0%BE%D0%B3%D1%80%D0%B0%D0%BC%D0%BC%D0%B8%D1%81%D1%82&hhtmFrom=vacancy_search_list
Программист PHP,Excdev,"180 000 – 280 000 ₽ за месяц, на руки",https://hh.ru/vacancy/114574447?query=%D0%BF%D1%80%D0%BE%D0%B3%D1%80%D0%B0%D0%BC%D0%BC%D0%B8%D1%81%D1%82&hhtmFrom=vacancy_search_list
Стажер-программист 1С,ООО Автоматизация. Внедрение. Технологии.,"29 500 ₽ за месяц, до вычета налогов",https://hh.ru/vacancy/116704394?query=%D0%BF%D1%80%D0%BE%D0%B3%D1%80%D0%B0%D0%BC%D0%BC%D0%B8%D1%81%D1%82&hhtmFrom=vacancy_search_list
Инженер-программист,ООО ДИАМЕХ 2000,"110 000 – 140 000 ₽ за месяц, на руки",https://hh.ru/vacancy/116517350?query=%D0%BF%D1%80%D0%BE%D0%B3%D1%80%D0%B0%D0%BC%D0%BC%D0%B8%D1%81%D1%82&hhtmFrom=vacancy_search_list
Java-программист,РеИнформ Инт.,"от 200 000 ₽ за месяц, до вычета налогов",https://hh.ru/vacancy/116519972?query=%D0%BF%D1%80%D0%BE%D0%B3%D1%80%D0%B0%D0%BC%D0%BC%D0%B8%D1%81%D1%82&hhtmFrom=vacancy_search_list
Программист MSSQL,ООО ДиБ Системс,"160 000 – 230 000 ₽ за месяц, на руки",https://hh.ru/vacancy/115894583?query=%D0%BF%D1%80%D0%BE%D0%B3%D1%80%D0%B0%D0%BC%D0%BC%D0%B8%D1%81%D1%82&hhtmFrom=vacancy_search_list
Инженер-программист,ООО Зевс,"180 000 – 205 000 ₽ за месяц, на руки",https://hh.ru/vacancy/116720303?query=%D0%BF%D1%80%D0%BE%D0%B3%D1%80%D0%B0%D0%BC%D0%BC%D0%B8%D1%81%D1%82&hhtmFrom=vacancy_search_list
Программист C++ (junior),ПАО ПАО «Яковлев»,Зарплата не указана,https://hh.ru/vacancy/116457811?query=%D0%BF%D1%80%D0%BE%D0%B3%D1%80%D0%B0%D0%BC%D0%BC%D0%B8%D1%81%D1%82&hhtmFrom=vacancy_search_list
Программист 1С (Junior),АО НПФ ВТБ Пенсионный Фонд,Зарплата не указана,https://hh.ru/vacancy/116500262?query=%D0%BF%D1%80%D0%BE%D0%B3%D1%80%D0%B0%D0%BC%D0%BC%D0%B8%D1%81%D1%82&hhtmFrom=vacancy_search_list
